subset,id,questionText,clusters
stack,27,How should I stay motivated every time I have a workout session?,"[[""Discipline is when one uses reason to determine the best course of action that opposes one's desires, which is the opposite of fun"", 'If people just did those two things, the entire world would be phenomenal athletes in ripped shape running around with washboard abs high-fiving each other.', 'I have trouble keeping my workout sessions', 'Self-discipline is to some extent a substitute for motivation', 'Sticking to the program is a matter of self discipline and good life choices', 'If I could distill fitness down to two things, it would be this: Use a good program. Adhere to it.', 'You need the discipline to stick with your program when you feel like crap, have skipped a week, feel fat, feel weak, etc.', 'I have begun to be feeling demoralized', 'Good programs are a matter of putting your ego in check and following the science'], [""You don't stay physically active, you will age faster, your body will breakdown faster, and you will have less energy""], ['Be realistic about what you hope to achieve', 'Unrealistic expectations are the worst'], ['Burnout is misunderstood'], ['Finding a partner to work out with helps both people stay motivated'], ['If you want the real, scorching kind of motivation you need to look inwards'], ['Rewarding yourself after a workout by doing something fun can help you stay motivated', 'Listening to a playlist of your favorite music can help you stay motivated', 'Watching motivation films or video clips can also help you to change your mindset', 'Watching motivational movies or listening to motivational speeches can help you stay motivated', 'Music can help keep you motivated', 'Switching up the workout routine keeps it interesting and helps you stay motivated', 'Making your workouts fun and engaging will keep you coming back for more'], ['You should be setting goals and targets for your time in the gym', 'You should try and keep a log of your exercises and weight', 'Tracking your workouts is one way you can see how long it takes for you to actually improve', 'Measuring and keeping track of your progress can help you stay motivated', 'Progression is the ultimate motivator'], ['The mind and your thoughts are your strongest motivator'], ['Another good way to stay motivated is to bring a buddy']]"
stack,28,Finding a gold ring lost in the house,"[['A gold ring is, in effect, a tuned circuit.', 'Call for it', 'You can try vacuuming to suck up ring or blow air to make it fall on floor and then search on floor again', 'You should use a very bright flashlight', ""If you have searched every place it could be then it must be in a place it can't be"", 'You should scan each room from floor to bureau-top.', 'A grid dip meter (GDM) could identify a closed loop of a good conductor such as gold alloy.', 'Search everywhere, no matter how unlikely it is to be there', 'Do a fingertip search, work from one end of the search surface and then work in a methodical way', 'Try making it all dark in the house and using a flashlight/torch', ""If the ring's under a bed, take off the mattress to check underneath."", 'You can easily find the ring as the ring will be reflecting little light due to torch light falling on it', 'There is only one way that is pretty sure to work', 'The above method works well if done on low lit or dark areas', 'This method helped me to find few small objects on floor', ""For cupboards and drawers, once searched put a postit note on it so you can see what you have and haven't searched"", 'You should close the blinds and drapes', 'An alternative to this is to picture each room as a grid', 'Searching floor will be quicker than looking at other places'], [""You'll need to be within 30 cm or so.""], ['Search everyday till you find the ring'], ['You can also ask around to see if anyone has seen the ring'], ['You should calibrate the GDM by comparison with another ring of close to the same diameter.'], ['You should turn off all the electronics'], [""I've been able to find lost things using a pendulum and an accurate handmade map of the location (divining)""], [""many of the answers given there wouldn't apply to a search inside""], ['You should wait until night'], ['the gold ring was lost only yesterday'], ['the prospective areas have been narrowed down to just the bedroom, kitchen, or living room'], ['A surprisingly large number find they can find lost things using a pendulum and an accurate handmade map of the location (divining)'], ['Get the word out fast']]"
stack,29,What do you call someone who shoots fireworks professionally?,"[['Individuals who handle more powerful materials for commercial, demolition, or military applications are generally referred to as explosive technicians', 'Pyro can also be (and colloquially is probably more likely to be) a shortened form of pyromaniac', 'The term pyrotechnician can include all individuals who regularly handle explosives', 'Pyrotechnist is the right word', ""I have informally heard them called 'pyros'"", 'The United States Department of Alcohol, Tobacco, and Firearms calls them pyrotechnicians', 'The term pyrotechnician is generally used in reference to individuals who operate pyrotechnics in the entertainment industry', ""The word 'Pyrotechnician' accurately describes the type of professional you are describing"", 'Pyro is quite simply a shortening of the more ‘proper’ term, which is a pyrotechnician', 'A pyrotechnician is a person who is responsible for the safe storage, handling, and functioning of pyrotechnics and pyrotechnic devices'], ['If context does not clearly show which you mean, you should always use the full word lest you be misunderstood'], ['You need a background in engineering to be blowing up granite to make way for a highway'], ['The title is rarely a point of contention in union negotiations']]"
stack,30,"Different forms of the abbreviations for ""identification""?","[['""ID"" or ""I.D."" is especially common in the UK', 'In some contexts, id could be understood as ID', 'I would stick with ID', 'These are quite domain-specific uses', '""Id"" and ""id"" are quite common in some computing contexts', 'ID is by far the most common abbreviation', 'Id. is more syntactically correct', '""ID"" or ""I.D."" is the most common in everyday writing', 'ID is an abbreviation for identity, identification', 'The convention of starting variable names with small letters leads to things like: getTokenId(), idOfUser', 'A common convention for naming functions/methods is to capitalise the first letter of ""words"" and treat abbreviations as normal ""words""', 'i.d. and I.D. are correct', '""i.d."" or ""I.d."" are not commonly seen', ""Google NGrams Viewer overwhelmingly employs 'ID'"", '""Id"" and ""id"" would not usually be used in normal writing contexts'], [""Canada's Termium terminological database accepts 'ID' as correct""], ['Id is a variant spelling of Eid', 'The term id is used in psychoanalysis'], ['right and wrongID are correct'], [""Having a period after the first letter doesn't make any sense""], ['""Id."" is what I prefer'], ['""Id.s"" being its plural'], ['I would rule out ID'], ['That rules out all for your suggestions']]"
stack,31,Is potty-training in 3 days possible?,"[['HOW TO books do not consider the individual personality types', 'If the parent is the one initiating the process, it is going to take however much time it takes until the child is ready', ""It is better to just wait until the child has mastered the physical skills necessary instead of trying to force something you can't"", 'An incremental approach is bound to bring conflict, foot dragging, and begging by both the parent and child', 'The 3 Day Potty Training Method makes it possible to potty train a 2-year-old in 3 days', 'You should consider carefully if they are ready', 'Depending on the physical and emotional development of the child it may be possible', ""Some kids can't hold it while sleeping until they are much older regardless of their desire to do so"", ""It doesn't matter how long it takes"", 'The most important thing is to notice when the kid is ready and make him as comfortable as possible', 'It is possible for a child to be potty trained in a short period of time', 'Be patient and loving with them and they will learn in 3 days or 3 months', 'You can take it slow and let your child learn at their own pace', 'You have to wait until the child is actually ready', 'You have to be committed to watch them like a hawk and help them succeed, prevent and deal with night-time accidents, etc.'], ['Be consistent with him/her'], ['If he succeeds, make sure to make a big deal and reward him with hugs and maybe a little treat as well'], [""If there are accidents, don't make a big deal out of it, just have him help you out to clean""], ['When you do pull the trigger, to not go half way']]"
stack,32,How do inversions of extended chords work?,"[['One just gets more inversions', 'Open voicings use whatever notes are appropriate, but will not use every consecutive note from that chord', '13th chords are usually in root position because their inversions are academic.', 'All voicings are subject to root or inversions', 'Seventh chords can put any chord tone into the bass including the seventh', '9th chords almost always have the 9th above the root', 'C, C/E, C/G, C/B♭ (call it C7/B♭ if you like) are commonplace.', ""For clarity's sake put the extensions above the root"", 'Every voicing will also have a label for its inversion, but an inversion tells us little about the voicing', 'In practice, notes are usually omitted from extended chords to avoid jarring dissonances, so not all of the inversions are seen in the wild.', ""Whilst being closely related, they're not the same, although they do both contribute to information about a chord, they are not synonymous"", ""Order of other notes (or even lack of them) won't affect the naming of that inversion"", 'Inverting a 13th chord has the effect of turning it into a different 13th chord.', ""Anything beyond the 7th in a 'pile-of-thirds' type extended chord is almost always going to be in the upper structure, not as the bass note."", 'The conventional treatment would be to place the extensions above the chord root', ""If you're thinking in guitar terms, and there's a bass player, there may be little point in thinking of 'inversions' in what you play, just 'voicings'."", 'They can double or treble certain notes', 'The inversion will establish the lowest note on a chord', 'Inversion of chords does not specify the disposition of upper voices (in general)', 'In theory, inverting an extended chord works the same as inverting a simple triad, except that more inversions are possible.', ""In certain circumstances, 3rd, 4th, 5th inversions won't necessarily sound good"", 'Closed voicings occur when each and every note is as close to the next (up and down) that it can be', ""A chord's voicing is a more complete picture that would include the inversion as well as other characteristics."", 'Inversions (and root position) will tell what note is at the bottom', ""A chord's inversion will only tell you which note is in the bass."", 'Putting the extensions in the bass can give the impression of other chords with some added non-chord tones or their own extensions', 'The term voicing is often used in the context of a particular instrument, e.g. piano voicings or guitar voicings, and therefore include a consideration of what is idiomatic for that instrument.', ""It doesn't matter so much whether you're playing C E G, E G C, G C E or an open voicing if the bass is hitting (say) an E."", 'C9/D, C7(#11)/F# and C13/A are less likely.', 'They can have any of the appropriate notes, in any order', 'The more notes added to that triad (7ths, 9ths, 11ths, 13ths, and their ♭/♯ alterations), the more inversions there can be'], [""Conventional handling sets the inversion 'limit' at third inversion""], ['Extensions are the intervals higher than the seventh: ninths, elevenths, and thirteenths'], [""Whatever you do, musically it's a first inversion.""], ['In others, they work really well'], [""For chords with more than 5 tones, it's not always the case that the object is a chord""]]"
stack,33,Is UL approval required on all items sold in the USA,"[['If you want the US to be a significant market, you want an NRTL approval.', 'UL approval is not legally required', 'You cannot be sure about selling in the US without an NRTL mark', 'UL approval is only common', ""If you manage to get a widget into someone's home and the house burns down, for any reason, the homeowner's lawyers are going to have a field day with you and you're likely to have to spend more time in court than you want to, and even more time on the street, since they'll strip every speck of meat from your bones, just to prove they can"", 'If your local jurisdiction has adopted the national electrical code then this requirement applies.', 'Local electrical inspectors may prevent business owners from using your equipment based on local regulations unless they see an NRTL mark (even though the Federal gov may not require it).', 'This does not apply to your personal use items, but does apply to any fixed appliances or electrical equipment that is installed within your home or commercial facility.', 'The City of Baltimore wanted UL, CSA or MET Labs so we gave MET Labs the TUV test reports and a check for a few thousand dollars and they gave us an approval.', 'I have to have a UL approval as well', 'There is no legislation mandating certification by UL or any other agency, public or private, prior to sale of consumer electrical goods in the US', 'The National Electrical Code requires that all items installed in a building be tested by an NRTL, generally that means UL listed.', 'You can be sure that if the product has a recognized mark, you can sell it', 'Getting goods to market is going to be difficult, at best, without some agency like UL and their imprimatur attesting to the safety of the widget'], ['Not using UL or CSA may cause problems in some jurisdictions that are old fashioned.'], ['UL is a pain to work with, I would go with CSA before UL (even though CSA is Canadian they can grant US NRTL marks in general).'], ['While getting the NRTL approval, throw in the Canadian approval, there are only small differences in the requirements and you open up both markets.'], ['The costs are passed to the consumer', 'You pay for that privilege.', 'As part of getting an NRTL mark, you will be signing up for periodic (typically four times a year) factory inspections where the NRTL will make sure you are still building your product in the approved way.', 'A private company is using scare tactics to make money'], ['Anyone who does buy and install a system that is not certified will probably not be able to get insurance coverage'], ['I have had the spray tan machine tested by a CE test house'], ['I wish to sell a spray tan machine in the USA'], ['The CE mark has no weight in North America'], ['UL or any other certification house will stand by your side if for example a toaster catches fire', 'Insurance companies can not deny coverage based on certification'], ['Manufacturers pay for certification']]"
stack,34,How to make DIY ice axe protectors?,"[['A piece of corrugated cardboard folded to double the thickness and tied with thin cord through the hole in the spike works as a spike protector'], ['An old garden hose can be used to protect the blade on a wood axe or hatchet'], ['An old tennis ball can protect the pointy end of the ice axe'], ['I want to add protectors to ice axes'], ['If you need to cut hard ice or something, you can take off the duct tape (or the act of cutting might just take it off)', 'Duct tape works for the adze', 'The duct tape method also works for me when traveling'], ['I can secure an empty prescription medication plastic bottle with duct tape if it is a little bit loose', 'I use an empty prescription medication plastic bottle from CVS or Walgreens'], ['I use pneumatic hosing'], ['Old bicycle tubes can be used to build some sheath', 'You can use something like a Bike Handle cover, the one that has a cap on the other end'], ['You could get a leather packet sewed/tailored to fit the blade in'], [""You don't need the adze for self-arrest""]]"
stack,35,"Would ""Greetings"" be a better word to greet someone any time than the word ""Hello""?","[[""It's perfectly polite and distinct.""], ['""Hello"" is polite', '""Hello."" is perfectly acceptable', '""Good afternoon"" and ""Good evening"" might be said in a very formal context', 'greetings does seem very old fashioned to me as a native English speaker', '""Greetings"" would really only be appropriate these days in an ironic fashion', 'if you are a native speaker and speaking with another native speaker, a simple hello would be fine', 'Hello and welcome to my home/my office/our salon', 'it also depends if you are greeting a single person or many people at the same time', 'greetings is not wrong', 'if you are not speaking in your native language greetings would be interpreted as being polite and considerate', '""Greetings Mr Smith"" is possibly too formal', 'Greetings to you, my friends and colleagues is something you can use in a public speech to deliver the actual greeting', 'if you are greeting one person, a more personal follow-up, such as How are you? I hope you had a good journey. Perhaps you would like a drink? is quite fitting', '""Greetings"" is more polite than the word ""hello""', '""Greetings"" will sound very formal and archaic in many places', 'To say: birthday/Christmas greetings is perfectly common (not to actually wish a happy birthday or a merry Christmas, but to refer to those actions)', 'it depends a lot on the cultural setting', 'The word (only plural!) can also be used in formal communication to deliver the actual greeting', 'hello all, hello everyone, or welcome everyone is quite acceptable when meeting several people at the same time', '""Welcome to [business name], how may I assist you?"" would be appropriate if you\'re greeting someone entering a store or place of business', '""Greetings Mr Smith"" is possibly anachronistic'], ['""Greetings"" is a better word to greet someone anytime than the word ""hello""'], ['""Hello."" may be a bit abrupt in a business relationship'], ['The older Japanese owner knew almost no English but he knew a hundred ways to greet people.', 'He made an impression that very few people have been able to reproduce.', '""How do you do?"" is a much under-used greeting'], ['He had a lot of fun with it and stuck to the same greeting for everyone on any given day.'], ['If you want to be respectful and polite you can say Welcome!'], ['""Greetings"" sounds almost like a mockery'], ['""Hello, how are you today?"" would likely sound better'], ['It was always better being a little bit off.']]"
stack,36,"Why ""job"" in ""nut job""","[[""'Job' has been around a long time in slang""], ['the male examples I found tended to use nutjob with examples of extreme antisocial behavior (criminals)', ""'job' just means something of a particular type"", ""'Nutjob' isn't really going anywhere"", 'crazy people are called nut jobs', ""'Job' is more commonly used in the diminutive form 'jobbie', as in 'A Blackberry is one of those hand-held jobbies'"", ""In this slang usage there's no particular implication that the thing (or person, here) being referred to is either a task, or the end result of task-oriented labour"", 'Job here is used informally to refer to something of a certain kind', ""This usage of 'job' basically derives from 'piece of work'"", ""'Job' is not normally used of people"", 'nut job would logically follow as it is shorter than nut piece of work', ""All 'job' really means here is 'example' ('instance of')"", ""the uses I've heard (and found below) are not synonymous with 'nutcase'"", ""This use is very similar to whack job and also similar to other slang uses of job such as 'do a job on' or 'a bank job' (meaning to rob a bank)""], [""This one may be more closely related to 'jobber'"", ""Jobber may have been truncated to 'job'""], ['There is a logical reason why ""job"" is used in ""nut-job""'], ['You will also find nut job used a lot in this same construction'], [""'nut case' would be: loony person + document case file = certifiable crazy person""], [""'nut job': loony person + diminutive work = someone made crazy by their work"", ""a definition of a nut job could be a label for a person who acts nutty, loony, weird, 'out of touch with the main-stream'""], [""In the case of a 'nut,' the implication was that the 'job' wasn't a very good one""], [""That was a 'job'""], ['this behavior is burdensome to the people who interact with the person', 'it is work to be their friend or acquaintance', ""the word 'job' may seem to refer to the person defined by their actions""], ['many words like these function as compound words'], ['maybe nutjob is a gendered slang term'], ['""job"" is used in ""nut-job"" because it is a synonym for the second meaning of ""case"" in ""nut-case""']]"
stack,37,How do you decide whether to use the infinitive or -ing version of a verb?,"[['avoiding implies something continuous and ongoing', 'to avoid is a series of individual events', '""She started avoiding me"" sounds like ""I walked in the room and she immediately left, and when I followed her she left the building.""', '""She started to avoid me"" sounds like ""I called her and she didn\'t return my call. The next day I texted her but she didn\'t text back. Two days later I sent her an email which she never opened.""'], ['Other uses of those forms influence how we perceive both options even in cases where both are grammatically equivalent', 'I wonder: is there any way to decide whether to use the former or the latter?', 'the nuance of difference is so subtle that you could use either purely depending on which one you liked the sound of', 'There are a number of other factors to bias the decision', 'Begin and start can be followed by infinitives or -ing forms', 'I search for the phrase with the most results in Google Books', 'Three months had passed since she started saving money', 'Both constructs are equally valid from a grammatical point of view'], ['After progressive forms of begin and start, infinitives are preferred'], ['Infinitives are also preferred with stative verbs like understand, realise and know'], ['Three months had passed since she started to save money'], ['you use the infinitive for activities that you plan, think, want, start to do, that is that lie in the future of the thinking, starting and so on, but have not yet begun'], ['you use the past or present continuous for events that are ongoing in the present or had been ongoing until a specified end point or for a specified duration'], ['the proper use is reflected in the following example: Three months have passed since she has started to avoid me, and she has been avoiding me ever since']]"
stack,38,Dialogue editing on cans?,"[['Editing on headphones was always fine for game VO editing', 'Game VO editing is quite a different process from being a dialogue editor on film', 'Invest in a set of monitors as soon as you can', 'If your end user will be listening on headphones, you should be doing a good amount of it yourself', 'I would recommend Grado SR325is to anyone', ""if your speakers aren't amazing, then a pass with each (headphones and speakers) should be done to get a better perspective on how it's sounding"", 'You will catch little things that need to be picked up in the cans that you might not in the monitors', 'Headphones are standard for this type of session', 'Headphones are great', ""Grado SR325is are the 'best' of the lower range"", ""You may be better off doing the bulk of your editing with the headphones and checking it against your speakers after you're comfortable with it there"", ""Editing on headphones can make you worry about things that in the larger scale of the project don't really matter"", ""After your ears get accustomed to hearing pops and clicks in headphones, you won't let pops and clicks sneak by you in monitors"", ""using headphones as a magnifying glass to find clicks could lead you to agonise over things that aren't even audible through speakers"", 'Editing with cans can be done', 'it is better to edit the dialogue on a decent pair of headphones', 'Headphones are great for cleaning up clicks and perfecting transitions in dialogue edits', 'The Beyer Dynamic DT-880 translate pretty well', 'It is important to cross reference, constantly', 'With more experience you get to know what particular device is better suited to the detail or the abstract of what you are editing', 'If it came down to an awesome set of cans or a mediocre set of speakers, I would choose the speakers', ""If you have a setup and playback system you are comfortable with and can trust, this process shouldn't slow you down"", 'The bottom line has been to be able to get a feel of what is an issue and what you can let slip on projects like this', ""You don't want to slow down when you have 45,000 lines of dialogue to edit"", 'This type of workflow was actually pressed on me from the producers that produce high profile audio books daily', ""if you're trying to fit in alts and whatnot, headphones could lead you to think something doesn't match when it does or vice versa"", ""The Beyer Dynamic DT-880 are the best headphones I've ever had"", ""You should know your cans, know how they translate, and compensate for what you're missing"", ""It is crucial to be able to reference what you've done through monitors""], ['Check it for phasing issues in the speakers'], ['I love to have my headphones around all the time'], ['headphones give a very inaccurate representation'], ['if you have a nice, quiet room and a decent set of monitors, cans should not be used']]"
stack,39,"What is a word or an idiom for ""an act that makes alive something inanimate""?","[['The act is vivification', 'I think about another closely related question: How to describe in a word or in an idiom that a stroke, when added on an animal drawn on a painting, makes the animal more vivid', ""There are a number of other phrases that might apply such as 'bring to life', 'vitalize', etc."", 'The word galvanize seems to often take as its object the noun corpse and seems to apply predominantly to (dead) biological objects', 'Breathe Life into is a well-used idiom for bringing life to', 'You can revivify a body to a real, not make-believe, life', ""The verb vivify is also close to 'infuse with vital power', also used in high-style sentences"", ""The simplest answer is 'animate'"", 'You cannot galvanize a broomstick or a brickbat', 'I am seeking after either a word or a phrase or an idiom to convey that an act brings alive something inanimate', ""'inspiring' also means to bring life to"", ""There are also a number that would apply only to bringing back to life something that was previously alive such as 'revive', 'resurrect', etc"", 'The life produced by galvanization is fictitious, not full-fledged', ""The word vitalize seems be closer in its meaning to something like 'infuse with life power'"", 'The verb revivify applies only to objects that were initially alive', ""One phrase that's often used is bring to life (or come to life)"", ""'I used a magic spell to vitalize my toy soldiers' might seem a bit strange""], [""The word 'personify' might fit your needs""]]"
stack,40,What are games with phrases used by English speaking people?,"[['The strategy is to try add letters that will maneuver your opponents into completing a word', 'The object of the game is to append a letter without completing a word', 'My all-time favorite word game is Superghosts', ""You can challenge a person's letter if you do not believe there are any real words that contain the present combination of letters"", 'Superghosts adds the concept of prepending characters to the collection'], [""You can play New York Times' older crosswords for free online""], [""You can play New York Times' daily new puzzles with a subscription""], ['Apples to Apples is a spectacular game'], ['There is I spy with my little eye'], ['There is Pictionary'], ['There is hangman'], ['There is possibly charades'], ['There is scrabble'], [""You can't say Mornington Crescent too soon, or you may be disqualified"", 'The primary object of the game is to be the first to say Mornington Crescent', 'Mornington Crescent is an english word game played mainly (but not exclusively) with London Underground stations and above-ground rail stations', 'Other place names, current, historical or fictional may be played'], ['HIPE is one of my favorite games'], ['The most well known crosswords come from the New York Times', 'Crosswords are extremely popular in America']]"
stack,41,Can I use the green part of leeks for stocks?,"[['There is actually a flavour difference between the white and the green', 'One tends to use the whites for stock', ""I wouldn't recommend using it for vichyssoise or warm potato-leek soup"", ""I wouldn't use the greens in a stock unless I was aiming for a particularly aggressive flavour"", 'Most recipes call for the white and the inner green parts of leeks', 'My book says to use only white and inner green parts of leeks for stock', 'I have been using all of it chopped in a Quinoa, White Bean, & Kale Stew recipe', 'I always use the green parts', ""The potato and leek soup I make says to discard the dark parts but I don't"", ""The darker green doesn't take 2 hours or more"", 'I like to throw them in whole so that I can remove them later', 'You can use it for making a robust stock for any other purpose', 'There may be a reason not to use the outer green part of leeks if properly cleaned', 'The white is more delicate and the green more robust', 'Some people consider the outer green part of leeks edible if properly cooked', 'The greens sliced up and then treated as onion rings (dust with seasoned cornstarch and deep fry) are both delicious and beautiful used as a garnish', ""It does come out a darker green than some people may be used to but it doesn't bother me at all"", 'I use the green parts for soup', 'You should use the leek up until the point where it feels dried out instead of firm and fleshy—well into the dark green parts', ""Most recipes don't call for it"", ""I've always used the entire leek including the dark green"", 'A couple of hours of simmering should be enough to cook the outer green part of leeks'], [""I don't peel garlic for stock""], ['I regretted using all of it in a Potato Leek Soup recently'], ['If it has a more robust flavor that is fine with me'], ['You should split it and wash the grit out'], ['I also puree the soup'], ['I keep the tomato vine in the pot'], ['I keep onion skin on when I use onions for stock', 'I sometimes throw a whole garlic bulb in for stock'], ['I think taste trumps the color of your food']]"
stack,42,Can rock salt be used for sewer maintenance?,"[['using chemical vs natural is the safest way to go, not only for the lines but for the environment as well', 'A common product recommended by plumbers is RootX', 'There are other tried and true methods to remove roots from sewer lines', 'Roebic® Foaming Root Killer foams up, and uses dichlobenil as the herbicide just like RootX', 'A cup of salt once a month would have no effect', 'Augers can be used to effectively remove roots from a sewer line, by cutting the roots out', 'Contact herbicides are chemicals that will kill the roots, and in some cases prevent them from regrowing', 'RootX is a herbicide in a foaming carrying agent, that allows the herbicide to reach roots at the top of the pipe', 'it is safe no matter what your lines are made of', 'the pipes would be damaged', ""I wouldn't recommend pouring a bag of rock salt down the drain"", 'I would imagine the levels of salt in the sewer would not be high enough to rust the pipe', 'RootX uses Dichlobenil, and is non-caustic, non-fumigating, and non-systemic', 'This is not likely a solution for a DIYer, since it involves expensive specialty tools', 'This can be very expensive, and will almost certainly not be a DIY project', ""Don't bother"", ""These are typically a more DIY friendly option, and can be found as simple 'pour down' solutions"", ""RootX is not readily available to homeowners, so you'll likely have to contact a plumber for this treatment"", 'In some cases roots may have caused too much damage to the sewer line, and the only option available is to dig the line up and replace it', 'This method will not prevent roots from growing back into the sewer', 'This is not likely a DIY option and does not prevent the roots from regrowing', ""A hydrojetter is essentially a power washer with a rotating mechanical 'sweeper', that is designed to be fed into the sewer line and blast and sweep roots away"", 'it is gonna be bad in the long run', ""I don't see it being healthy for your septic system"", 'One of the best ways to prevent roots from entering your sewer line, is to carefully plan where you plant trees and other deep rooting plants', 'A handful once or twice a month will probably not hurt the pipe', 'I am skeptical that the salt levels would be high enough to completely kill and prevent the roots', 'if you flooded the soil around the outside of the pipes it would keep roots out of the pipes'], [""I was able to find a reference to this in chapter 22 of The Complete Idiot's Guide to Household Solutions""], ['Flushing a glass full of rock salt down your toilet every month is good practice if you have a cast iron sewer line'], ['Roebic® Foaming Root Killer is available at Lowes for about $20.00']]"
stack,43,Why is the word 'Poke' obsolete?,"[[""Poke in the sense of 'bag' also remains current in Scotland"", 'In many parts of Scotland poke means a little paper bag for carrying purchases or a cone-shaped piece of paper for an ice-cream cone', ""I don't know if I ever heard my grandparents call a paper bag or a large cloth bag anything other than a poke"", ""Everyone of my generation would have considered poke a 'countrified' word for bag even when I was a child"", ""I wouldn't say poke is obsolete"", 'Poke was very commonly used by my parents and grandparents generation', 'My wife from Lancashire claims never to have heard the word poke in that context', 'poke is now obsolete', ""The only current use of the word that most of us have heard is 'buying a pig in a poke'"", ""Many classmates in rural North Carolina referred to a small brown paper bag as a 'poke'"", 'poke is obsolete in America', 'A paper cone-shaped bag (for sweets, mostly) is a poke in Northumberland', 'A poke ... well, these days almost nobody uses that kind of large bag often enough to need a short name for it', ""The expression 'a pig in the poke' and 'in a poke' have actually never gained much currency though still in use"", ""The use of 'poke' meaning a 'bag' has always been mainly regional both in US and UK"", 'Everyone of my generation would have known exactly what poke was', ""Strawberry sauce on an ice-cream cone is called dragon's blood in Lancashire"", 'The Oxford English Dictionary gives similar forms in other languages: Icelandic poki, Gaelic poc or poca, and French poche'], [""Poke in the sense of 'bag' still clings on today in the admonition expressed by the proverb 'Don't buy a pig in a poke'""], [""Strawberry sauce on an ice-cream cone is called monkey's blood in Northumberland""], [""The term 'poke' may be used because you could poke something into the bag""], ['Everyone knew those two pokes had entirely different meanings'], ['Meanings of words change over the years'], ['The noun poke meaning a bag or sack dates from the 14th century in English'], ['A pocket is no longer a small bag'], ['A pouch now usually connotes a particular kind of bag, typically with a narrowed or drawstring neck, not necessarily of any particular size'], ['A poke is a leather bag used to hold gold by the miners during the California Gold Rush of ‘49'], [""A small brown paper bag was referred to as a 'poke' by neighbors in rural North Carolina""], ['In northern Ireland the Ice cream man is called a Pokey man and you get poke from him']]"
stack,44,"Why is ""liquorice"" pronounced (or spelt) so strangely?","[['Now it seems this has been lost over the years and simply changed to ish', ""I always used the 'liquorish' pronunciation"", 'I refuse to roll with the masses and still pronounce it iss not ish', 'Due to an overwhelming amount of people pronouncing it ish it was changed'], ['It actually used to be pronounced /lɪkoɹˈɛs/'], ['Every other word ending with -ice is pronounced differently', 'Liquorice is pronounced ˈlɪkərɪʃ', 'Liquorice has a strange pronunciation or is strangely spelt'], ['The last phoneme probably shifted from /s/ to /ʃ/'], ['The original way was the way I had said it with the iss sound'], ['The pronunciation with [ɪʃ] may also have been influenced by a very old variant of what is now lecherous: lickerish'], ['There were two ways printed and an explanation shortly after it had been changed'], ['the English pronounce liquorice incorrectly'], ['the Scots pronounce liquorice correctly'], [""My Scottish mother always wrote it 'licorice' - using the 'riss' pronunciation""], ['English speakers for a long time have had a twisted lack of consistency'], ['Liquorice is a word that derives from the Old French licoresse (the equivalent of the modern French règlisse)'], ['The English word kept the pronunciation of the original word'], ['There is another word that has a similar pronunciation of -rice, and that has origin from a French word: caprice (AmE /kəˈpris/, BrE /kəˈpriːs/)']]"
stack,45,How to determine if hardwoods are under cabinets?,"[['If you will change footprint and there is a section missing, you often can weave in new wood and refinish the room', 'There is a terrific chance of the floor going under the cabinets in an older house with existing hardwood floors', 'On older homes with hardwood floors, if the cabinets are removed, they may need to be refinished anyway', 'Refinishing the floors beats a tie in and refinish', 'I do not recommend patching the immediate area', 'If there are not hardwoods underneath, it is feasible/costly to patch a section of hardwood flooring to get a decent match to the existing', 'You could try to patch the immediate area', ""I would pull up the flooring to the affected area and relay the new to recover the cabinet's footprint"", 'The whole floor would need refinishing'], ['You can always drill a hole in the cabinet to see', 'You can sometimes tell by walking on floors', 'You can sometimes look at the edges', 'It is possible to determine without taking the cabinets apart whether there are hardwood floors underneath'], ['On newer homes, cabinets are placed on the subfloor or on plywood to raise them up, and the flooring runs to the cabinets'], ['The chances are nil the laminate flooring goes under the cabinets'], [""If it doesn't have a quarter round, floor goes under the cabinets"", 'If it has a quarter round, then two options: floor does not go under the cabinet, or the owner likes the look of the quarter round'], ['Measure toe kick height', 'You should pull the trim panel at bottom of dishwasher and check there'], ['Remove a piece of trim and see if you see the bottom of the cabinets', 'The easiest way to tell is to look for a quarter round trim between the cabinet and the floor'], [""If you see the quarter round, just assume it doesn't go under""], ['If the kitchen has tile, look at the grout lines'], ['If the tiles are cut to fit next to the cabinets with a grout line between, then the tile does not go under'], ['If you are going to replace cabinets and use same footprint, this is not a big deal at all'], ['You can tell by looking under the dishwasher'], ['It is very easy to do if it is oak'], ['The easiest way is to look under stove'], ['With laminate floors, if you can find the flooring still, you will need to pull a piece to match it up by']]"
